BillID,id,stageId,sessionId,description,abbreviation,house,stageSittings,sortOrder
26,137.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 1, 'stageId': 6, 'billStageId': 137, 'billId': 26, 'date': '2007-02-06T00:00:00'}]",1.0
26,12944.0,7.0,20.0,2nd reading,2R,Commons,[],2.0
27,139.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 2, 'stageId': 6, 'billStageId': 139, 'billId': 27, 'date': '2007-01-24T00:00:00'}]",1.0
27,12945.0,7.0,20.0,2nd reading,2R,Commons,[],2.0
28,141.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 3, 'stageId': 6, 'billStageId': 141, 'billId': 28, 'date': '2007-01-16T00:00:00'}]",1.0
28,12946.0,7.0,20.0,2nd reading,2R,Commons,[],2.0
29,145.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 4, 'stageId': 1, 'billStageId': 145, 'billId': 29, 'date': '2007-01-29T00:00:00'}]",1.0
29,146.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 5, 'stageId': 2, 'billStageId': 146, 'billId': 29, 'date': '2007-04-20T00:00:00'}]",2.0
30,147.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 6, 'stageId': 1, 'billStageId': 147, 'billId': 30, 'date': '2006-11-28T00:00:00'}]",1.0
30,12948.0,2.0,20.0,2nd reading,2R,Lords,[],2.0
31,148.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 7, 'stageId': 1, 'billStageId': 148, 'billId': 31, 'date': '2006-11-23T00:00:00'}]",1.0
31,149.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 8, 'stageId': 2, 'billStageId': 149, 'billId': 31, 'date': '2006-12-15T00:00:00'}]",2.0
31,697.0,24.0,20.0,Order of Commitment discharged,OOCD,Lords,"[{'id': 501, 'stageId': 24, 'billStageId': 697, 'billId': 31, 'date': '2007-01-31T00:00:00'}]",3.0
31,821.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 601, 'stageId': 5, 'billStageId': 821, 'billId': 31, 'date': '2007-02-20T00:00:00'}]",4.0
31,822.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 602, 'stageId': 6, 'billStageId': 822, 'billId': 31, 'date': '2007-02-27T00:00:00'}]",5.0
31,12949.0,7.0,20.0,2nd reading,2R,Commons,[],6.0
32,151.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 9, 'stageId': 1, 'billStageId': 151, 'billId': 32, 'date': '2006-11-27T00:00:00'}]",1.0
32,152.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 10, 'stageId': 2, 'billStageId': 152, 'billId': 32, 'date': '2006-12-12T00:00:00'}]",2.0
32,153.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 11, 'stageId': 3, 'billStageId': 153, 'billId': 32, 'date': '2007-01-08T00:00:00'}]",3.0
32,154.0,4.0,20.0,Report stage,RS,Lords,"[{'id': 12, 'stageId': 4, 'billStageId': 154, 'billId': 32, 'date': '2007-01-29T00:00:00'}]",4.0
32,155.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 13, 'stageId': 5, 'billStageId': 155, 'billId': 32, 'date': '2007-02-05T00:00:00'}]",5.0
32,698.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 502, 'stageId': 6, 'billStageId': 698, 'billId': 32, 'date': '2007-02-06T00:00:00'}]",6.0
32,699.0,7.0,20.0,2nd reading,2R,Commons,"[{'id': 503, 'stageId': 7, 'billStageId': 699, 'billId': 32, 'date': '2007-05-14T00:00:00'}]",7.0
32,700.0,14.0,20.0,Programme motion,PM,Commons,"[{'id': 504, 'stageId': 14, 'billStageId': 700, 'billId': 32, 'date': '2007-05-14T00:00:00'}]",8.0
32,701.0,15.0,20.0,Money resolution,MR,Commons,"[{'id': 505, 'stageId': 15, 'billStageId': 701, 'billId': 32, 'date': '2007-05-14T00:00:00'}]",9.0
32,702.0,8.0,20.0,Committee stage,CS,Commons,"[{'id': 506, 'stageId': 8, 'billStageId': 702, 'billId': 32, 'date': '2007-06-05T00:00:00'}]",10.0
32,703.0,9.0,20.0,Report stage,RS,Commons,"[{'id': 507, 'stageId': 9, 'billStageId': 703, 'billId': 32, 'date': '2007-06-28T00:00:00'}]",11.0
32,704.0,10.0,20.0,3rd reading,3R,Commons,"[{'id': 508, 'stageId': 10, 'billStageId': 704, 'billId': 32, 'date': '2007-06-28T00:00:00'}]",12.0
32,824.0,13.0,20.0,Consideration of Commons amendments,COCA,Lords,"[{'id': 603, 'stageId': 13, 'billStageId': 824, 'billId': 32, 'date': '2007-07-05T00:00:00'}]",13.0
32,825.0,11.0,20.0,Royal Assent,RA,Unassigned,"[{'id': 604, 'stageId': 11, 'billStageId': 825, 'billId': 32, 'date': '2007-07-19T00:00:00'}]",14.0
33,158.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 14, 'stageId': 1, 'billStageId': 158, 'billId': 33, 'date': '2006-11-16T00:00:00'}]",1.0
33,159.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 15, 'stageId': 2, 'billStageId': 159, 'billId': 33, 'date': '2006-12-04T00:00:00'}]",2.0
33,160.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 16, 'stageId': 3, 'billStageId': 160, 'billId': 33, 'date': '2006-12-18T00:00:00'}, {'id': 17, 'stageId': 3, 'billStageId': 160, 'billId': 33, 'date': '2007-01-09T00:00:00'}, {'id': 18, 'stageId': 3, 'billStageId': 160, 'billId': 33, 'date': '2007-01-10T00:00:00'}]",3.0
33,161.0,4.0,20.0,Report stage,RS,Lords,"[{'id': 19, 'stageId': 4, 'billStageId': 161, 'billId': 33, 'date': '2007-01-30T00:00:00'}]",4.0
33,162.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 20, 'stageId': 5, 'billStageId': 162, 'billId': 33, 'date': '2007-02-06T00:00:00'}]",5.0
33,705.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 509, 'stageId': 6, 'billStageId': 705, 'billId': 33, 'date': '2007-02-07T00:00:00'}]",6.0
33,706.0,7.0,20.0,2nd reading,2R,Commons,"[{'id': 510, 'stageId': 7, 'billStageId': 706, 'billId': 33, 'date': '2007-03-19T00:00:00'}]",7.0
33,707.0,14.0,20.0,Programme motion,PM,Commons,"[{'id': 511, 'stageId': 14, 'billStageId': 707, 'billId': 33, 'date': '2007-03-19T00:00:00'}]",8.0
33,708.0,15.0,20.0,Money resolution,MR,Commons,"[{'id': 512, 'stageId': 15, 'billStageId': 708, 'billId': 33, 'date': '2007-03-19T00:00:00'}]",9.0
33,709.0,8.0,20.0,Committee stage,CS,Commons,"[{'id': 513, 'stageId': 8, 'billStageId': 709, 'billId': 33, 'date': '2007-04-17T00:00:00'}, {'id': 514, 'stageId': 8, 'billStageId': 709, 'billId': 33, 'date': '2007-04-19T00:00:00'}, {'id': 515, 'stageId': 8, 'billStageId': 709, 'billId': 33, 'date': '2007-04-24T00:00:00'}]",10.0
33,710.0,9.0,20.0,Report stage,RS,Commons,"[{'id': 516, 'stageId': 9, 'billStageId': 710, 'billId': 33, 'date': '2007-07-05T00:00:00'}]",11.0
33,711.0,10.0,20.0,3rd reading,3R,Commons,"[{'id': 517, 'stageId': 10, 'billStageId': 711, 'billId': 33, 'date': '2007-07-05T00:00:00'}]",12.0
33,916.0,13.0,20.0,Consideration of Commons amendments,COCA,Lords,"[{'id': 701, 'stageId': 13, 'billStageId': 916, 'billId': 33, 'date': '2007-07-18T00:00:00'}]",13.0
33,917.0,11.0,20.0,Royal Assent,RA,Unassigned,"[{'id': 702, 'stageId': 11, 'billStageId': 917, 'billId': 33, 'date': '2007-07-19T00:00:00'}]",14.0
34,165.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 21, 'stageId': 1, 'billStageId': 165, 'billId': 34, 'date': '2006-11-29T00:00:00'}]",1.0
34,166.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 22, 'stageId': 2, 'billStageId': 166, 'billId': 34, 'date': '2007-03-16T00:00:00'}]",2.0
34,910.0,24.0,20.0,Order of Commitment discharged,OOCD,Lords,"[{'id': 703, 'stageId': 24, 'billStageId': 910, 'billId': 34, 'date': '2007-04-18T00:00:00'}]",3.0
34,911.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 704, 'stageId': 5, 'billStageId': 911, 'billId': 34, 'date': '2007-06-13T00:00:00'}]",4.0
34,912.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 705, 'stageId': 6, 'billStageId': 912, 'billId': 34, 'date': '2007-06-15T00:00:00'}]",5.0
34,12952.0,7.0,20.0,2nd reading,2R,Commons,[],6.0
35,168.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 23, 'stageId': 1, 'billStageId': 168, 'billId': 35, 'date': '2006-12-13T00:00:00'}]",1.0
35,169.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 24, 'stageId': 2, 'billStageId': 169, 'billId': 35, 'date': '2007-02-23T00:00:00'}]",2.0
35,170.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 25, 'stageId': 3, 'billStageId': 170, 'billId': 35, 'date': '2007-03-22T00:00:00'}]",3.0
36,171.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 26, 'stageId': 1, 'billStageId': 171, 'billId': 36, 'date': '2006-11-27T00:00:00'}]",1.0
36,172.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 27, 'stageId': 2, 'billStageId': 172, 'billId': 36, 'date': '2006-12-15T00:00:00'}]",2.0
36,173.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 28, 'stageId': 3, 'billStageId': 173, 'billId': 36, 'date': '2007-03-22T00:00:00'}]",3.0
36,174.0,4.0,20.0,Report stage,RS,Lords,"[{'id': 29, 'stageId': 4, 'billStageId': 174, 'billId': 36, 'date': '2007-04-17T00:00:00'}]",4.0
36,175.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 30, 'stageId': 5, 'billStageId': 175, 'billId': 36, 'date': '2007-04-24T00:00:00'}]",5.0
36,356.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 201, 'stageId': 6, 'billStageId': 356, 'billId': 36, 'date': '2007-04-24T00:00:00'}]",6.0
36,12954.0,7.0,20.0,2nd reading,2R,Commons,[],7.0
37,176.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 31, 'stageId': 1, 'billStageId': 176, 'billId': 37, 'date': '2006-11-20T00:00:00'}]",1.0
37,177.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 32, 'stageId': 2, 'billStageId': 177, 'billId': 37, 'date': '2007-06-08T00:00:00'}]",2.0
38,178.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 33, 'stageId': 1, 'billStageId': 178, 'billId': 38, 'date': '2006-11-28T00:00:00'}]",1.0
38,179.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 34, 'stageId': 2, 'billStageId': 179, 'billId': 38, 'date': '2006-12-15T00:00:00'}]",2.0
38,180.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 35, 'stageId': 3, 'billStageId': 180, 'billId': 38, 'date': '2007-03-01T00:00:00'}]",3.0
38,181.0,4.0,20.0,Report stage,RS,Lords,"[{'id': 36, 'stageId': 4, 'billStageId': 181, 'billId': 38, 'date': '2007-03-19T00:00:00'}]",4.0
38,182.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 37, 'stageId': 5, 'billStageId': 182, 'billId': 38, 'date': '2007-03-27T00:00:00'}]",5.0
38,419.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 202, 'stageId': 6, 'billStageId': 419, 'billId': 38, 'date': '2007-07-17T00:00:00'}]",6.0
38,12956.0,7.0,20.0,2nd reading,2R,Commons,[],7.0
39,183.0,1.0,20.0,1st reading,1R,Lords,"[{'id': 38, 'stageId': 1, 'billStageId': 183, 'billId': 39, 'date': '2006-11-16T00:00:00'}]",1.0
39,184.0,2.0,20.0,2nd reading,2R,Lords,"[{'id': 39, 'stageId': 2, 'billStageId': 184, 'billId': 39, 'date': '2007-01-26T00:00:00'}]",2.0
39,185.0,3.0,20.0,Committee stage,CS,Lords,"[{'id': 40, 'stageId': 3, 'billStageId': 185, 'billId': 39, 'date': '2007-05-10T00:00:00'}]",3.0
39,186.0,4.0,20.0,Report stage,RS,Lords,"[{'id': 41, 'stageId': 4, 'billStageId': 186, 'billId': 39, 'date': '2007-06-13T00:00:00'}]",4.0
39,187.0,5.0,20.0,3rd reading,3R,Lords,"[{'id': 42, 'stageId': 5, 'billStageId': 187, 'billId': 39, 'date': '2007-06-21T00:00:00'}]",5.0
39,424.0,6.0,20.0,1st reading,1R,Commons,"[{'id': 203, 'stageId': 6, 'billStageId': 424, 'billId': 39, 'date': '2007-06-21T00:00:00'}]",6.0
39,425.0,7.0,20.0,2nd reading,2R,Commons,"[{'id': 204, 'stageId': 7, 'billStageId': 425, 'billId': 39, 'date': '2007-07-10T00:00:00'}]",7.0
39,426.0,14.0,20.0,Programme motion,PM,Commons,"[{'id': 205, 'stageId': 14, 'billStageId': 426, 'billId': 39, 'date': '2007-07-10T00:00:00'}]",8.0
39,427.0,8.0,20.0,Committee stage,CS,Commons,"[{'id': 206, 'stageId': 8, 'billStageId': 427, 'billId': 39, 'date': '2007-07-17T00:00:00'}]",9.0
39,428.0,9.0,20.0,Report stage,RS,Commons,"[{'id': 207, 'stageId': 9, 'billStageId': 428, 'billId': 39, 'date': '2007-07-23T00:00:00'}]",10.0
