memberID,id,type,typeId,title,organisation,startMonth,startYear,endMonth,endYear
43,6469,Political,3,Chair,West Anglia Task Force,,2015.0,,
43,5106,Public life,2,Chairman,Community Development Foundation,,1986.0,,1997.0
43,5107,Public life,2,Governor,Felsted School,,1985.0,,2012.0
43,5098,Political,3,Deputy Chairman,Conservative Group for Europe,,1982.0,,1985.0
43,5105,Public life,2,Chairman,Commonwealth Youth Exchange Council,,1978.0,,1981.0
43,5104,Public life,2,Chairman ,Monton Sports Club,,1976.0,,1977.0
43,5102,Non political,1,Government Affairs Consultant,,,1974.0,,1997.0
43,5103,Public life,2,Chairman,Manchester Youth and Community Service,,1974.0,,1977.0
43,5101,Non political,1,Industrial Executive ,British Vita,,1968.0,,1974.0
43,5097,Political,3,National Chairman,Young Conservative Movement,,1966.0,,1968.0
43,5100,Non political,1,Industrial Executive ,Slater Walker,,1965.0,,1968.0
43,5099,Non political,1,Industrial Executive,ICI,,1960.0,,1965.0
43,5095,Political,3,President,Oxford University Conservative Association,,1958.0,,1958.0
43,5096,Political,3,"Secretary, Treasurer, Librarian",Oxford Union Society,,1958.0,,1959.0
56,4347,Political,3,Local Councillor,Royal Borough of Kensington & Chelsea,,1978.0,,1987.0
68,5920,Political,3,President,Conservative Friends of Euro-Asia,,2019.0,,
68,5039,Political,3,Member Responsible for EU Foreign Affairs,No.10 Policy Advisory Board,,2011.0,,2015.0
68,5040,Political,3,Chair,Globalisation & Global Poverty Commission,,2006.0,,2007.0
68,5043,Non political,1,Non Executive Director and Vice Chairman,Tethys Petroleum Ltd,,2006.0,,2014.0
68,5044,Non political,1,Non Executive Director,Melchior Japan Investment Trust PLC,,2006.0,,2010.0
68,5045,Non political,1,Non Executive Director,Idox PLC,,2002.0,,2018.0
68,5046,Non political,1,Non Executive Director,J P Morgan Cloverhouse Investment Trust,,1997.0,,2008.0
68,5060,Political,3,Contested,Conservative Party Leadership Election,,1997.0,,1997.0
68,5038,Political,3,Consultant Director,Conservative Research Department,,1979.0,,1983.0
68,5042,Non political,1,Energy Analyst/Partner,W Greenwell & Co,,1973.0,,1987.0
68,5041,Non political,1,Development Economist,Maxwell Stamp Associates,,1968.0,,1973.0
82,3704,Public life,2,Vice President,Hospice UK,,,,
94,2418,Non political,1,Chairman,Haymarket Group,,2009.0,,
94,2417,Non political,1,Chairman,Haymarket Media Group,,1999.0,,2009.0
94,2416,Non political,1,Chairman,Haymarket Press,,1964.0,,1970.0
100,5675,Public life,2,Trustee,Supporting Wounded Veterans,,2017.0,,
100,6327,Public life,2,President,Lest We Forget,,2017.0,,
100,354,Public life,2,Trustee,National Army Museum,,2012.0,,
100,353,Public life,2,Chairman,European Atlantic Group,,2010.0,,
100,352,Non political,1,Director,Jupiter Dividend & Growth Trust PLC,,1998.0,,
100,348,Political,3,Parliamentary Candidate,Dagenham,,1974.0,,1974.0
100,349,Non political,1,MD,British Quadruplex,,1974.0,,1974.0
100,350,Non political,1,Director,Tower Assets,,1971.0,,1973.0
100,347,Political,3,Councillor,Kensington and Chelsea,,1968.0,,1971.0
100,351,Non political,1,Lieutenant,Coldstream Guards,,1960.0,,1962.0
112,5455,Non political,1,Chairman,Competition and Markets Authority,,2018.0,,
112,5456,Public life,2,Trustee,Pallant House Gallery,,2017.0,,
112,5089,Non political,1,Chair,Public Accounts Commission,,2010.0,,2011.0
112,5091,Non political,1,Shadow Paymaster General,Public Accounts Commission,,2004.0,,2005.0
112,5090,Non political,1,Shadow Financial Secretary,Public Accounts Commission,,2003.0,,2004.0
112,5087,Political,3,Member of Parliament,Chichester Council,,1997.0,,2017.0
112,5088,Non political,1,Member,Public Accounts Commission,,1997.0,,2017.0
112,5094,Public life,2,Advisor to John Major,Central Government,,1989.0,,1990.0
112,5093,Public life,2,Advisor to Nigel Lawson,Central Government,,1986.0,,1989.0
112,5092,Public life,2,Group Head Office,British Petroleum,,1981.0,,1983.0
147,6021,Public life,2,Vice Patron,Book Aid International,,2022.0,,
147,6022,Public life,2,Non-executive Director,Royal Philharmonic,,2022.0,,
147,5666,Public life,2,Chairman,Sir Winston Churchill Archive Trust,,2020.0,,
147,5665,Public life,2,Chancellor,University of Greenwich,,2019.0,,
147,5663,Public life,2,Chairman,Book Aid International,,2010.0,,2022.0
147,5664,Public life,2,Trustee,Duke of Edinburgh Award International Foundation ,,2010.0,,
147,5662,Public life,2,High Commissioner to South Africa,Foreign and Commonwealth Office,,2005.0,,2009.0
147,5658,Political,3,Chief Secretary,HM Treasury,,2001.0,,2005.0
147,5656,Political,3,Parliamentary Under Secretary of State,Department of Health,,1998.0,,2001.0
147,5657,Political,3,Minster of State,Home Office,,1998.0,,2001.0
147,5661,Non political,1,Barrister at Law,Gray's Inn,,1989.0,,1997.0
147,5655,Political,3,MP for Brent South,House of Commons,,1987.0,,2005.0
147,5654,Political,3,G.L.C Member for Walthamstow,Greater London Council,,1981.0,,1985.0
147,5660,Non political,1,Partner,B.M. Birnberg & Co.,,1979.0,,1987.0
147,5659,Non political,1,Solicitor,Paddington Law Centre,,1975.0,,1979.0
160,5458,Public life,2,Vice Chair,Scottish Peers Association,6.0,2019.0,,
160,5200,Public life,2,Member,Chatham House,,2018.0,,
160,5201,Public life,2,Graduate Member (Parliamentary Scheme),Royal College of Defence Studies,,2017.0,,
160,2648,Non political,1,Chairman & Director,Good Governance Foundation (a Community Interest Company),,2011.0,,2015.0
160,2647,Non political,1,Campaign Director,Future Heathrow,,2005.0,,2010.0
160,2650,Public life,2,Chairman,Arab-Jewish Forum,,2005.0,,2014.0
160,5199,Public life,2,Member,International Institute of Strategic Studies,,2005.0,,
160,2649,Public life,2,Chairman,Mary Seacole Memorial Statue Appeal,,2004.0,,2016.0
160,2645,Political,3,Councillor,Hammersmith and Fulham Council,,1974.0,,1978.0
160,2646,Non political,1,Chairman,"Alcohol Education Centre, Maudsley Hospital",,1974.0,,1984.0
160,4610,Non political,1,Probation Officer and Senior Probation Officer,Inner London Probation Service,,1970.0,,1979.0
186,5582,Public life,2,Board member,English National Opera,,2020.0,,
186,5581,Non political,1,Chairman,South Staffs Water,,2019.0,,
186,5075,Non political,1,Chairman,Intellectual Property Regulation Board,,2018.0,,
186,5076,Public life,2,President,Wordsworth Trust,,2018.0,,
186,3710,Non political,1,Master,"Pembroke College, Cambridge",,2015.0,,
186,3708,Non political,1,Chairman,Task Force on Shale Gas,,2014.0,,2015.0
186,3709,Non political,1,Non-executive Director,Spencer Ogden,,2014.0,,2016.0
186,3712,Public life,2,Chairman,Art Fund,,2014.0,,
186,2596,Public life,2,Trustee,The Sixteen,,2013.0,,
186,552,Public life,2,Chairman,Film Policy Review,,2011.0,,2012.0
186,547,Non political,1,Chairman,Environment Agency,,2008.0,,2014.0
186,546,Non political,1,Non-executive Director,Phonographic Performance LTD (PPL),,2007.0,,
186,548,Non political,1,Chairman,Advertising Standards Authority,,2007.0,,2017.0
186,2595,Non political,1,Visiting Professor,"University of Arts, London",,2005.0,,2010.0
186,2597,Public life,2,Honorary Fellow,"Pembroke College, Cambridge",,2004.0,,
186,3707,Non political,1,Chair,"London Cultural Consortium, GLA",,2004.0,,2008.0
186,545,Non political,1,Founding Director,Clore Leadership Programme,,2003.0,,2008.0
186,550,Public life,2,Chairman,Wordsworth Trust,,2003.0,,2017.0
186,551,Public life,2,Chairman,Donmar Warehouse Theatre,,2003.0,,2015.0
186,549,Political,3,Member,Committee on Standards in Public Life,,2001.0,,2004.0
186,3711,Public life,2,Board Member,National Theatre,,2001.0,,2009.0
186,543,Political,3,Secretary of State,"Culture, Media and Sport",,1997.0,,2001.0
186,2594,Political,3,Shadow Cabinet,Labour Party,,1992.0,,1997.0
186,542,Political,3,MP,Islington South and Finsbury,,1983.0,,2005.0
186,3706,Political,3,Chairman of Housing,London Borough of Islington,,1979.0,,1982.0
186,541,Political,3,Borough Councillor (Chief Whip; Chair of Housing),Islington Borough Council,,1978.0,,1983.0
186,544,Non political,1,Housing Development Officer,Shaftesbury Housing Association Society for Cooperative Dwellings,,1977.0,,1983.0
196,4069,Political,3,Electoral Commissioner,The Electoral Commission,,2011.0,,2018.0
196,4068,Non political,1,Non-Exec Director,CRU International Ltd,,1997.0,,
196,3202,Non political,1,Managing Director,CRU International Ltd,,1983.0,,1992.0
196,3201,Non political,1,Managing Director,CRU International Ltd,,1968.0,,1970.0
196,3200,Non political,1,Journalist,The Economist,,1964.0,,1968.0
196,3199,Non political,1,Journalist,Financial Times,,1962.0,,1964.0
196,5638,Non political,1,Trainee Manager,Rowntree & Co,,1960.0,,1962.0
200,4047,Public life,2,Chair,Welfare Association UK,,2013.0,,
200,4046,Non political,1,Manager Community Health Service,Ealing Health Authority,,1984.0,,1990.0
200,4043,Political,3,Local Councillor,London Borough of Richmond-on-Thames,,1981.0,,1990.0
200,4044,Political,3,Chair - Social Services,London Borough of Richmond-on-Thames,,1981.0,,1989.0
200,4045,Non political,1,Senior Medical Officer,Ealing Health Authority,,1978.0,,1989.0
209,5120,Public life,2,Trustee,Saracens Sports Foundation,,2016.0,,
209,5119,Public life,2,Council Member,RSPB,,2015.0,,2017.0
209,5121,Public life,2,Director,Colne Valley Park Community Interest Co.,,2015.0,,2017.0
209,5122,Public life,2,Deputy Chairman of Trustees,Human Trafficking Foundation,,2013.0,,
214,3995,Non political,1,Associate,Global Partners Governance,,2016.0,,
214,4000,Public life,2,Patron,Designability,,2014.0,,
214,3998,Public life,2,Governor,Westminster Foundation for Democracy,,2010.0,,2015.0
214,3999,Public life,2,Member,Olympic Board,,2010.0,,2012.0
214,3996,Public life,2,President,National Campaign for Nursery Education,,1999.0,,2001.0
214,3997,Public life,2,President,British Assoc. for Early Childhood Education,,1998.0,,2002.0
214,3994,Non political,1,Mangement Consultant,Pannell Kerr Forster,,1989.0,,1992.0
214,3989,Political,3,"Chair, Education Committee",Avon CC,,1986.0,,1989.0
214,3990,Political,3,Executive Member,Association of County Councils,,1985.0,,1989.0
214,3988,Political,3,Local Councillor,Avon County Council,,1981.0,,1989.0
214,3993,Non political,1,Education Lecturer,Bristol University,,1980.0,,1989.0
214,3992,Non political,1,Science Project Director,Resources for Learning Development Unit,,1975.0,,1980.0
214,3991,Non political,1,Science Teacher,Sevenoaks School,,1969.0,,1975.0
215,2073,Public life,2,Chair,The Fawcett Society; Commission on Women in the Criminal Justice System,,2008.0,,2009.0
215,6011,Public life,2,Patron,Women in Prison,,2008.0,,
225,5018,Public life,2,Ambassador,United Purpose (Developement Charity),,2017.0,,
225,686,Public life,2,Vice Chairman,Hansard Society,,2010.0,,2018.0
225,684,Public life,2,Chairman,Inter Climate Network Advisory Board (Charity) ,,2009.0,,
225,685,Public life,2,Chairman,"Faiths & Civil Society Unit, Goldsmiths, University of London",,2009.0,,
225,2916,Public life,2,Vice President,Youth Hostels Association,,2005.0,,2015.0
225,682,Non political,1,Managing Director,Western Approaches PR Ltd,,1987.0,,1992.0
225,683,Political,3,Chairman,Liberal Party,,1983.0,,1986.0
225,681,Non political,1,Director/Senior Consultant,Good Relations Group,,1982.0,,1992.0
225,680,Non political,1,Managing Director,Cornwall Courier Newspaper Group,,1976.0,,1981.0
225,679,Non political,1,Board Member,"SHELTER, the housing and homeless charity",,1975.0,,1976.0
225,2130,Political,3,Vice Chairman,Dartmoor National Park Committee,,1967.0,,1970.0
