memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
3,1.0,Assistant Whip (HM Treasury),351,2003-06-13T00:00:00,2005-05-10T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
5,1.0,Attorney General (Law Officers),433,1992-04-10T00:00:00,1997-05-01T00:00:00,Law Officers,http://www.attorneygeneral.gov.uk/
5,1.0,Solicitor General (Law Officers),434,1987-06-15T00:00:00,1992-04-10T00:00:00,Law Officers,http://www.attorneygeneral.gov.uk/
5,1.0,Parliamentary Under-Secretary (Department of Health and Social Security),406,1986-09-10T00:00:00,1987-06-13T00:00:00,Department of Health and Social Security,
7,1.0,Deputy Chief Whip and Treasurer,48,1996-07-23T00:00:00,1997-05-01T00:00:00,HM Household,
7,1.0,Vice-Chamberlain (HM Household),379,1995-10-18T00:00:00,1996-07-22T00:00:00,HM Household,
7,1.0,Lord Commissioner (HM Treasury) (Whip),350,1993-05-27T00:00:00,1995-10-18T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
7,1.0,Assistant Whip (HM Treasury),351,1992-04-15T00:00:00,1993-05-27T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
8,1.0,"Prime Minister, First Lord of the Treasury and Minister for the Civil Service",661,2016-07-13T00:00:00,2019-07-24T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
8,1.0,Home Secretary,74,2010-05-12T00:00:00,2016-07-13T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
8,1.0,Minister for Women and Equalities,1114,2010-05-12T00:00:00,2012-10-15T00:00:00,Government Equalities Office,https://www.gov.uk/government/organisations/government-equalities-office
12,1.0,Parliamentary Under-Secretary (Home Office),532,2003-06-13T00:00:00,2006-05-05T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
14,1.0,Secretary of State for Wales,741,1993-07-20T00:00:00,1995-07-04T00:00:00,Welsh Office,
14,1.0,Minister (Department of Environment) (Local Government),135,1992-04-15T00:00:00,1993-05-26T00:00:00,Department for the Environment,
14,1.0,Minister of State (Department of Trade and Industry),413,1990-01-01T00:00:00,1992-01-01T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
14,1.0,Parliamentary Under-Secretary (Department of Trade and Industry),411,1989-07-26T00:00:00,1990-11-02T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
15,1.0,Chancellor of the Duchy of Lancaster,1189,2018-01-08T00:00:00,2019-07-24T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
15,1.0,Minister of State (Cabinet Office),473,2018-01-08T00:00:00,2019-07-24T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
15,1.0,Lord Chancellor and Secretary of State for Justice,718,2017-06-11T00:00:00,2018-01-08T00:00:00,Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice
15,1.0,Lord President of the Council and Leader of the House of Commons,1142,2016-07-14T00:00:00,2017-05-03T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
15,1.0,Minister of State (Foreign and Commonwealth Office) (European issues and NATO),938,2010-05-13T00:00:00,2016-07-14T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
16,1.0,Attorney General,22,2010-05-12T00:00:00,2014-07-15T00:00:00,Attorney General's Office,https://www.gov.uk/government/organisations/attorney-generals-office
18,1.0,Secretary of State for Wales,743,2010-05-12T00:00:00,2012-09-06T00:00:00,Wales Office,https://www.gov.uk/government/organisations/wales-office
18,1.0,Parliamentary Under-Secretary (Department for Education and Employment),467,1995-07-06T00:00:00,1997-05-01T00:00:00,Department for Education and Employment,
21,1.0,Parliamentary Under-Secretary (Department of Health),447,1984-09-11T00:00:00,1986-09-10T00:00:00,Department of Health,http://www.dh.gov.uk
21,1.0,Parliamentary Under-Secretary (Foreign and Commonwealth Office),395,1983-06-13T00:00:00,1984-09-10T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
22,1.0,Parliamentary Under-Secretary (Department of Trade and Industry),411,1994-07-20T00:00:00,1995-02-11T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
22,1.0,Parliamentary Under-Secretary (Home Office),366,1992-04-15T00:00:00,1994-07-20T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
26,1.0,Parliamentary Secretary (Government Equalities Office),515,2009-06-09T00:00:00,2010-05-06T00:00:00,Government Equalities Office,http://www.equalities.gov.uk
27,1.0,Parliamentary Under-Secretary (Ministry of Defence),533,2003-06-13T00:00:00,2005-05-05T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
27,1.0,Assistant Whip (HM Treasury),351,2001-06-12T00:00:00,2003-06-13T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
28,1.0,Minister of State (Home Office),417,2013-10-07T00:00:00,2014-11-04T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
