memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Patrick Hall,
2,1,Commons,1,1997-05-01T00:00:00,2019-11-06T00:00:00,Kelvin Hopkins,
3,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Margaret Moran,
4,1,Commons,1,1997-05-01T00:00:00,2005-05-05T00:00:00,Mr Jonathan Sayeed,
4,1,Commons,1,1983-06-09T00:00:00,1992-04-09T00:00:00,Mr Jonathan Sayeed,
5,2,Lords,2,2005-06-27T00:00:00,2010-08-30T00:00:00,The Lord Lyell of Markyate,
5,1,Commons,1,1979-05-03T00:00:00,2001-06-07T00:00:00,Sir Nicholas Lyell,
6,1,Commons,1,1970-06-18T00:00:00,2001-06-07T00:00:00,Sir David Madel,
7,1,Commons,1,1983-06-09T00:00:00,2010-05-06T00:00:00,Mr Andrew Mackay,
7,1,Commons,1,1977-03-31T00:00:00,1979-05-01T00:00:00,Mr Andrew Mackay,
8,1,Commons,1,1997-05-01T00:00:00,,Mrs Theresa May,
9,1,Commons,1,1993-05-06T00:00:00,2005-05-05T00:00:00,Mr David Rendel,
10,1,Commons,1,1997-05-01T00:00:00,2005-05-05T00:00:00,Jane Griffiths,
11,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Martin Salter,
12,1,Commons,1,1997-05-01T00:00:00,2017-05-03T00:00:00,Fiona Mactaggart,
13,1,Commons,1,1992-04-09T00:00:00,2005-05-05T00:00:00,Mr Michael Trend,
14,1,Commons,1,1987-06-11T00:00:00,,John Redwood,
15,1,Commons,1,1992-04-09T00:00:00,2019-11-06T00:00:00,Sir David Lidington,
16,1,Commons,1,1997-05-01T00:00:00,2019-11-06T00:00:00,Mr Dominic Grieve,
17,1,Commons,1,1997-05-01T00:00:00,2019-11-04T00:00:00,John Bercow,
18,1,Commons,1,1992-04-09T00:00:00,2021-04-04T00:00:00,Dame Cheryl Gillan,
19,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Dr Phyllis Starkey,
20,1,Commons,1,1997-05-01T00:00:00,2005-05-05T00:00:00,Brian White,
21,1,Commons,1,1978-04-27T00:00:00,2001-06-07T00:00:00,Sir Ray Whitney,
22,1,Commons,1,1983-06-09T00:00:00,2001-06-07T00:00:00,Mr Charles Wardle,
23,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Dr Desmond Turner,
24,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,David Lepper,
25,1,Commons,1,1992-04-09T00:00:00,2010-05-06T00:00:00,Mr Nigel Waterson,
26,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Michael Jabez Foster,
27,1,Commons,1,1997-05-01T00:00:00,2005-05-05T00:00:00,Mr Ivor Caplin,
28,1,Commons,1,1997-05-01T00:00:00,2015-03-30T00:00:00,Norman Baker,
29,1,Commons,1,1965-02-04T00:00:00,2001-06-07T00:00:00,Sir Geoffrey Johnson Smith,
29,1,Commons,1,1959-10-08T00:00:00,1964-10-15T00:00:00,Sir Geoffrey Johnson Smith,
31,1,Commons,1,1987-06-11T00:00:00,2001-06-07T00:00:00,Mrs Teresa Gorman,
32,1,Commons,1,1997-05-01T00:00:00,2005-05-05T00:00:00,Mr Alan Hurst,
33,2,Lords,2,2018-06-18T00:00:00,,Lord Pickles,
33,1,Commons,1,1992-04-09T00:00:00,2017-05-03T00:00:00,Sir Eric Pickles,
34,1,Commons,1,1997-05-01T00:00:00,2001-06-07T00:00:00,Christine Butler,
35,1,Commons,1,1997-05-01T00:00:00,2015-03-30T00:00:00,Sir Bob Russell,
36,1,Commons,1,1997-05-01T00:00:00,,Dame Eleanor Laing,
37,1,Commons,1,1997-05-01T00:00:00,2010-05-06T00:00:00,Bill Rammell,
