memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
2,1.0,"Shadow Secretary of State for Culture, Media and Sport",1186,2016-07-05T00:00:00,2016-10-07T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
5,1.0,Shadow Attorney General,11,1997-06-11T00:00:00,1999-06-15T00:00:00,Attorney General's Office,https://www.gov.uk/government/organisations/attorney-generals-office
7,1.0,Shadow Minister without Portfolio,17,2005-06-30T00:00:00,2009-05-14T00:00:00,HM Official Opposition,
7,1.0,Shadow Secretary of State for Northern Ireland,873,1997-06-11T00:00:00,2001-06-07T00:00:00,Northern Ireland Office,https://www.gov.uk/government/organisations/northern-ireland-office
8,1.0,Shadow Secretary of State for Work and Pensions,866,2009-01-19T00:00:00,2010-05-06T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
8,1.0,Shadow Minister (Women),1019,2007-07-03T00:00:00,2010-05-06T00:00:00,,
8,1.0,Shadow Leader of the House of Commons,14,2005-12-10T00:00:00,2009-01-19T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
8,1.0,"Shadow Secretary of State for the Family, Culture, Media and Sport",1187,2005-05-10T00:00:00,2005-12-10T00:00:00,HM Official Opposition,
8,1.0,Shadow Secretary of State for the Family,1185,2004-06-14T00:00:00,2005-05-10T00:00:00,HM Official Opposition,
8,1.0,Shadow Secretary of State for Environment and Transport,1184,2003-11-10T00:00:00,2004-06-14T00:00:00,HM Official Opposition,
8,1.0,Shadow Secretary of State for Transport,868,2002-01-01T00:00:00,2002-12-31T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
8,1.0,"Shadow Secretary of State for Transport, Local Government and the Regions",1183,2001-09-01T00:00:00,2002-01-01T00:00:00,HM Official Opposition,
8,1.0,Shadow Secretary of State for Education,864,1999-06-15T00:00:00,2001-09-01T00:00:00,Department for Education,http://www.education.gov.uk/
8,1.0,Shadow Spokesperson (Women),1024,1999-06-15T00:00:00,2001-09-01T00:00:00,Opposition Department,
8,1.0,Shadow Spokesperson (Education),982,1998-07-01T00:00:00,1999-06-15T00:00:00,Department for Education,http://www.education.gov.uk/
12,1.0,Shadow Minister (Equalities),1049,2011-04-26T00:00:00,2011-10-07T00:00:00,Government Equalities Office,https://www.gov.uk/government/organisations/government-equalities-office
12,1.0,Shadow Minister (Equalities Office),964,2010-10-08T00:00:00,2011-04-26T00:00:00,Government Equalities Office,https://www.gov.uk/government/organisations/government-equalities-office
14,1.0,Shadow Secretary of State for Deregulation,1198,2004-09-08T00:00:00,2005-05-05T00:00:00,HM Official Opposition,
14,1.0,"Shadow Secretary of State for Environment, Transport and the Regions",1199,1999-06-15T00:00:00,2000-02-02T00:00:00,HM Official Opposition,
14,1.0,Shadow Secretary of State for Trade and Industry,1200,1997-06-11T00:00:00,1999-06-15T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
15,1.0,Shadow Minister (Foreign and Commonwealth Affairs),878,2007-07-03T00:00:00,2010-05-06T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
15,1.0,Shadow Secretary of State for Northern Ireland,873,2003-07-01T00:00:00,2007-07-03T00:00:00,Northern Ireland Office,https://www.gov.uk/government/organisations/northern-ireland-office
15,1.0,"Shadow Minister (Food, Farming and Environment)",896,2002-09-05T00:00:00,2002-12-19T00:00:00,HM Official Opposition,
