memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
7,1,"Deputy Chair, Conservative Party",766,2004-09-01T00:00:00,2005-11-01T00:00:00,,
8,1,Leader of the Conservative Party,787,2016-07-11T00:00:00,2019-06-07T00:00:00,,
8,1,"Party Chair, Conservative Party",805,2002-07-23T00:00:00,2003-12-06T00:00:00,,
11,1,"Vice-Chair, Labour Party",824,2007-06-28T00:00:00,2010-05-06T00:00:00,,
13,1,"Deputy Chair, Conservative Party",766,1995-07-01T00:00:00,1998-07-01T00:00:00,,
17,1,Speaker of the House of Commons,817,2009-06-22T00:00:00,2019-11-04T00:00:00,,
19,1,"Chair, Parliamentary Office of Science and Technology",1100,2002-05-01T00:00:00,2005-03-01T00:00:00,,
29,1,"Vice-Chair, Conservative Party",823,1965-07-01T00:00:00,1971-07-01T00:00:00,,
33,1,"Party Chair, Conservative Party",805,2009-01-19T00:00:00,2010-05-06T00:00:00,,
33,1,"Deputy Chair, Conservative Party",766,2005-05-10T00:00:00,2007-07-03T00:00:00,,
33,1,"Vice-Chair, Conservative Party",823,1993-07-01T00:00:00,1997-05-01T00:00:00,,
36,1,Deputy Speaker and Chairman of Ways and Means,760,2020-01-08T00:00:00,,,
36,1,Deputy Speaker (First Deputy Chairman of Ways and Means),777,2013-10-16T00:00:00,2019-11-06T00:00:00,,
39,1,"Vice-Chair, Conservative Party 1922 Committee",1088,2008-07-01T00:00:00,2015-03-30T00:00:00,,
40,1,"Deputy Chair, Conservative Party",766,2005-12-01T00:00:00,2006-11-07T00:00:00,,
41,1,"Chair, Parliamentary Office of Science and Technology",1100,1993-04-01T00:00:00,1998-03-01T00:00:00,,
43,1,Deputy Speaker and Chairman of Ways and Means,760,2010-05-25T00:00:00,2010-06-08T00:00:00,,
43,1,Deputy Speaker and Chairman of Ways and Means,760,1997-05-01T00:00:00,2010-05-06T00:00:00,,
57,2,Deputy Chairman of Committees (Lords),1092,2022-05-19T00:00:00,,,
68,1,Deputy Leader of the Conservative Party,769,1998-06-02T00:00:00,1999-06-15T00:00:00,,
82,1,Leader of the Conservative Party,787,2003-11-06T00:00:00,2005-12-06T00:00:00,,
87,1,Deputy Speaker and Chairman of Ways and Means,760,2022-12-19T00:00:00,,,
87,1,Parliamentary Assembly of the Council of Europe (Full Member),1083,2012-01-23T00:00:00,2015-03-30T00:00:00,,
87,1,Parliamentary Assembly of the Council of Europe (Substitute Member),1084,2010-11-10T00:00:00,2012-01-23T00:00:00,,
87,1,"Vice-Chair, Conservative Party",823,2001-08-01T00:00:00,2003-07-31T00:00:00,,
87,1,Parliamentary Assembly of the Council of Europe (Substitute Member),1084,1987-10-01T00:00:00,1989-11-16T00:00:00,,
88,1,"Deputy Chair, Conservative Party",766,2010-09-04T00:00:00,2012-09-04T00:00:00,,
90,1,"Vice-Chair, Labour Party",824,2007-07-01T00:00:00,2010-05-06T00:00:00,,
92,1,"Chief Executive (Deputy Chair), Conservative Party",762,1998-07-01T00:00:00,1999-07-01T00:00:00,,
92,1,"Vice-Chair, Conservative Party",823,1997-07-01T00:00:00,1998-07-01T00:00:00,,
93,1,Second Church Estates Commissioner,1114,2010-06-21T00:00:00,2015-03-30T00:00:00,,
100,1,"Chair, Conservative Party 1922 Committee",757,1997-05-01T00:00:00,2001-06-07T00:00:00,,
115,1,"Party Chair, Conservative Party",805,2005-05-10T00:00:00,2007-07-03T00:00:00,,
117,1,Father of the House of Commons,776,2019-12-17T00:00:00,,,
119,1,Leader of the Conservative Party,787,1990-11-28T00:00:00,1997-06-19T00:00:00,,
121,1,"Party Chair, Conservative Party",805,1995-07-05T00:00:00,1997-05-01T00:00:00,,
123,1,"Vice-Chair, Conservative Party",823,1998-07-01T00:00:00,1999-07-01T00:00:00,,
127,1,"Chief Executive & Deputy Chair, Conservative Party",761,1999-07-01T00:00:00,2001-06-07T00:00:00,,
129,1,"Chair, Parliamentary Office of Science and Technology",1100,1998-03-02T00:00:00,2002-05-01T00:00:00,,
130,1,"Chair, Parliamentary Labour Party",758,2001-06-08T00:00:00,2002-10-24T00:00:00,,
134,1,Deputy Speaker (Second Deputy Chairman of Ways and Means),814,1997-05-01T00:00:00,2010-05-06T00:00:00,,
136,1,"Vice-Chair, Conservative Party",823,1998-01-01T00:00:00,1998-06-02T00:00:00,,
139,1,"Vice-Chair, Conservative Party",823,2005-12-12T00:00:00,2010-05-06T00:00:00,,
145,1,Mayor of London,802,2000-05-04T00:00:00,2008-05-01T00:00:00,,
145,1,"Member, Labour Party National Executive Committee",803,1997-07-01T00:00:00,1998-07-01T00:00:00,,
145,1,"Member, Labour Party National Executive Committee",803,1987-07-01T00:00:00,1989-07-01T00:00:00,,
150,1,Leader of the Labour Party,789,2015-05-08T00:00:00,2015-09-12T00:00:00,,
150,1,Deputy Leader of the Labour Party,770,2010-09-25T00:00:00,2015-05-08T00:00:00,,
150,1,Leader of the Labour Party,789,2010-05-12T00:00:00,2010-09-25T00:00:00,,
150,1,Deputy Leader of the Labour Party,770,2007-06-28T00:00:00,2010-05-06T00:00:00,,
150,1,"Party Chair, Labour Party",808,2007-06-28T00:00:00,2010-05-06T00:00:00,,
150,1,"Member, Labour Party National Executive Committee",803,1993-07-01T00:00:00,2010-05-06T00:00:00,,
152,1,Leader of the Conservative Party,787,2001-09-12T00:00:00,2003-11-06T00:00:00,,
154,1,"Party Chair, Conservative Party",805,1987-06-13T00:00:00,1989-07-24T00:00:00,,
155,1,Parliamentary Assembly of the Council of Europe (Substitute Member),1084,2010-11-10T00:00:00,2017-05-03T00:00:00,,
157,1,"Vice-Chair, Conservative Party",823,1998-07-01T00:00:00,1999-07-01T00:00:00,,
160,1,"Member, Labour Party National Executive Committee",803,1998-07-01T00:00:00,2001-07-01T00:00:00,,
160,1,"Chair, Parliamentary Labour Party",758,1997-05-10T00:00:00,2001-06-07T00:00:00,,
166,1,"Vice-Chair, Labour Party",824,2007-06-29T00:00:00,2008-09-14T00:00:00,,
172,1,"Member, Labour Party National Executive Committee",803,1994-01-01T00:00:00,1997-01-01T00:00:00,,
177,1,"Party Chair, Co-operative Party",806,2000-07-01T00:00:00,2019-06-08T00:00:00,,
185,1,Leader of the Labour Party,789,2015-09-12T00:00:00,2020-04-04T00:00:00,,
188,1,Leader of the Liberal Democrats,785,2020-08-27T00:00:00,,,
188,1,"Acting Leader, Liberal Democrats",755,2019-12-13T00:00:00,2020-08-27T00:00:00,,
188,1,"Deputy Leader, Liberal Democrats",772,2019-09-03T00:00:00,2019-12-13T00:00:00,,
194,1,"Deputy Leader, Liberal Democrats",772,2010-06-09T00:00:00,2014-01-29T00:00:00,,
194,1,"Party Chair, Liberal Democrats",1098,2005-01-01T00:00:00,2008-12-31T00:00:00,,
195,1,Father of the House of Commons,776,1992-04-09T00:00:00,2001-06-07T00:00:00,,
195,1,Leader of the Conservative Party,787,1965-08-02T00:00:00,1975-02-11T00:00:00,,
204,1,Chair of the Liberal Democrat Parliamentary Party,1087,2012-11-01T00:00:00,2013-06-05T00:00:00,,
207,1,Leader of the Liberal Democrats,785,2017-07-20T00:00:00,2019-07-22T00:00:00,,
207,1,"Acting Leader, Liberal Democrats",755,2007-10-15T00:00:00,2007-12-18T00:00:00,,
215,1,"Chair, Parliamentary Labour Party",758,2001-06-07T00:00:00,2005-05-05T00:00:00,,
217,1,Deputy Speaker (Second Deputy Chairman of Ways and Means),814,2010-06-08T00:00:00,2015-03-30T00:00:00,,
223,1,"Co-Chair, Conservative Party",764,2003-11-10T00:00:00,2005-05-10T00:00:00,,
228,1,Chair of the Liberal Democrat Parliamentary Party,1087,2003-06-12T00:00:00,2005-05-05T00:00:00,,
228,1,"Chair of Campaigns and Communications, Liberal Democrat Party",1112,1992-09-01T00:00:00,1994-09-01T00:00:00,,
