memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
2,1.0,Independent,8,2017-11-02T00:00:00,2019-11-06T00:00:00,,
2,1.0,Labour,15,1997-05-01T00:00:00,2017-11-02T00:00:00,,
3,1.0,Independent,8,2010-03-22T00:00:00,2010-05-06T00:00:00,,
3,1.0,Labour,15,1997-05-01T00:00:00,2010-03-22T00:00:00,,
4,1.0,Independent Conservative,9,2005-02-03T00:00:00,2005-05-05T00:00:00,,
4,1.0,Conservative,4,1983-06-09T00:00:00,2005-02-03T00:00:00,,
5,1.0,Conservative,4,1979-05-03T00:00:00,2010-08-30T00:00:00,,
6,1.0,Conservative,4,1970-06-18T00:00:00,2001-06-07T00:00:00,,
7,1.0,Conservative,4,1977-03-31T00:00:00,2010-05-06T00:00:00,,
8,1.0,Conservative,4,1997-05-01T00:00:00,,,
9,1.0,Liberal Democrat,17,1993-05-06T00:00:00,2005-05-05T00:00:00,,
10,1.0,Labour,15,1997-05-01T00:00:00,2005-05-05T00:00:00,,
11,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
12,1.0,Labour,15,1997-05-01T00:00:00,2017-05-03T00:00:00,,
13,1.0,Conservative,4,1992-04-09T00:00:00,2005-05-05T00:00:00,,
14,1.0,Conservative,4,1987-06-11T00:00:00,,,
15,1.0,Conservative,4,1992-04-09T00:00:00,2019-11-06T00:00:00,,
16,1.0,Independent,8,2019-09-04T00:00:00,2019-11-06T00:00:00,,
16,1.0,Conservative,4,1997-05-01T00:00:00,2019-09-04T00:00:00,,
17,1.0,Speaker,47,2009-06-22T00:00:00,2019-11-04T00:00:00,,
17,1.0,Conservative,4,1997-05-01T00:00:00,2009-06-21T00:00:00,,
18,1.0,Conservative,4,1992-04-09T00:00:00,2021-04-04T00:00:00,,
19,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
20,1.0,Labour,15,1997-05-01T00:00:00,2005-05-05T00:00:00,,
21,1.0,Conservative,4,1978-04-27T00:00:00,2001-06-07T00:00:00,,
22,1.0,Independent Conservative,9,2001-04-11T00:00:00,2001-06-07T00:00:00,,
22,1.0,Conservative,4,1983-06-09T00:00:00,2001-04-11T00:00:00,,
23,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
24,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
25,1.0,Conservative,4,1992-04-09T00:00:00,2010-05-06T00:00:00,,
26,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
27,1.0,Labour,15,1997-05-01T00:00:00,2005-05-05T00:00:00,,
28,1.0,Liberal Democrat,17,1997-05-01T00:00:00,2015-03-30T00:00:00,,
29,1.0,Conservative,4,1959-10-08T00:00:00,2001-06-07T00:00:00,,
31,1.0,Conservative,4,1995-04-01T00:00:00,2001-06-07T00:00:00,,
31,1.0,Independent Conservative,9,1994-11-29T00:00:00,1995-04-01T00:00:00,,
31,1.0,Conservative,4,1987-06-11T00:00:00,1994-11-29T00:00:00,,
32,1.0,Labour,15,1997-05-01T00:00:00,2005-05-05T00:00:00,,
33,1.0,Conservative,4,1992-04-09T00:00:00,,,
34,1.0,Labour,15,1997-05-01T00:00:00,2001-06-07T00:00:00,,
35,1.0,Liberal Democrat,17,1997-05-01T00:00:00,2015-03-30T00:00:00,,
36,1.0,Conservative,4,1997-05-01T00:00:00,,,
37,1.0,Labour,15,1997-05-01T00:00:00,2010-05-06T00:00:00,,
38,1.0,Labour,15,1997-05-01T00:00:00,2005-05-05T00:00:00,,
39,1.0,Conservative,4,1992-04-09T00:00:00,,,
40,1.0,Conservative,4,1992-04-09T00:00:00,,,
41,1.0,Conservative,4,1983-06-09T00:00:00,2001-06-07T00:00:00,,
42,1.0,Conservative,4,1995-04-01T00:00:00,2005-05-05T00:00:00,,
42,1.0,Independent Conservative,9,1994-11-29T00:00:00,1995-04-01T00:00:00,,
42,1.0,Conservative,4,1964-10-15T00:00:00,1994-11-29T00:00:00,,
43,1.0,Conservative,4,1970-06-18T00:00:00,,,
44,1.0,Conservative,4,1983-06-09T00:00:00,2021-10-15T00:00:00,,
45,1.0,Labour,15,1992-04-09T00:00:00,2010-05-06T00:00:00,,
46,1.0,Conservative,4,1987-06-11T00:00:00,2017-05-03T00:00:00,,
47,1.0,Conservative,4,1983-06-09T00:00:00,2017-05-03T00:00:00,,
